hearing_id,segment_id,start_timestamp,end_timestamp,speaker_cluster,raw_text,input_path,human_text,speaker_correct,names_correct,technical_terms_correct,negation_correct,audio_verified,error_notes
h1_2025_12_03,h1_2025_12_03_s00000,00:00:00.740,00:00:01.941,SPEAKER_12,THE BOARD WILL COME TO ORDER.,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,,,,,,,
h1_2025_12_03,h1_2025_12_03_s00304,00:27:25.706,00:27:26.146,SPEAKER_14,Thank you.,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,,,,,,,
h1_2025_12_03,h1_2025_12_03_s00609,00:53:26.622,00:53:28.205,SPEAKER_09,It looked like it was just empty space.,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,,,,,,,
h1_2025_12_03,h1_2025_12_03_s00913,01:16:16.785,01:16:17.265,SPEAKER_20,I'm going.,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,,,,,,,
h1_2025_12_03,h1_2025_12_03_s01218,01:50:18.509,01:50:26.791,SPEAKER_04,"that was just passed gives ICC the power to regulate rates, what type of power, and what we procure.",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,,,,,,,
h1_2025_12_03,h1_2025_12_03_s01522,02:12:13.582,02:12:16.224,SPEAKER_25,"Now, if he wants to finish that on your time, please.",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,,,,,,,
h1_2025_12_03,h1_2025_12_03_s01827,02:38:49.767,02:38:51.708,SPEAKER_23,NEXT SLIDE.,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,,,,,,,
h1_2025_12_03,h1_2025_12_03_s02131,03:02:19.298,03:02:36.473,SPEAKER_15,"If during the time that these zoning rules exist, Cyrus 1 substantially relies on those and spends enough money or time or what have you, they can get a vested right in proceeding forward under the existing rules.",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,,,,,,,
h1_2025_12_03,h1_2025_12_03_s02436,03:27:52.381,03:27:55.163,SPEAKER_09,"So in other words, if your electric supply was totally",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,,,,,,,
h1_2025_12_03,h1_2025_12_03_s02740,03:54:45.550,03:54:47.171,SPEAKER_45,About 280 acres.,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,,,,,,,
