hearing_id,date,title,document_id,parent_comment_id,unit_type,start_seconds,end_seconds,start_timestamp,end_timestamp,speaker_cluster,speaker_name,speaker_role,agenda_section,text,n_sentences,source_segment_ids,input_path,n_words,duration_seconds,question_count,contains_question,hearing_progress
h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",h1_2025_12_03_t00003,h1_2025_12_03_t00003,comment,15.605,39.934,00:00:15.605,00:00:39.934,SPEAKER_41,Unknown speaker,official,unassigned,"PLEASE GUIDE US. PLEASE HELP US TO SHOW OUR NEIGHBORS COMPASSION AND GRACE AND ALL THOSE THAT WE AGREE WITH OR DISAGREE WITH. PLEASE HELP US ALL TO LISTEN AND TO LEARN TONIGHT SO THAT WE MAY MAKE THE BEST CHOICES FOR OUR COMMUNITY. And dear Lord, please bless everyone in this room and our community as we go into the holiday season. May everyone enjoy faith, family, and this season. Amen.",6,h1_2025_12_03_s00004|h1_2025_12_03_s00005|h1_2025_12_03_s00006|h1_2025_12_03_s00007|h1_2025_12_03_s00008|h1_2025_12_03_s00009,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,72,24.328999999999997,0,False,0.0
h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",h1_2025_12_03_t00004,h1_2025_12_03_t00004,comment,39.954,55.225,00:00:39.954,00:00:55.225,SPEAKER_17,Unknown speaker,unknown,unassigned,"I pledge allegiance to the flag of the United States of America and to the republic for which it stands, one nation, under God, indivisible, with liberty and justice for all.",1,h1_2025_12_03_s00010,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,31,15.271,0,False,0.0014141343861507406
h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",h1_2025_12_03_t00005,h1_2025_12_03_t00005,comment,60.77,86.045,00:01:00.770,00:01:26.045,SPEAKER_12,Unknown speaker,official,unassigned,an announcement to the public we will be closing the sign-up sheet speak tonight thirty minutes into the program so if you want to sign up to speak tonight please go outside there's a sign-up sheet the clerk will call the roll on this special hearing here's here canman canman excuse constant here desco,1,h1_2025_12_03_s00011,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,58,25.275,0,False,0.0026230801901720073
h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",h1_2025_12_03_t00006,h1_2025_12_03_t00006,comment,89.2,108.381,00:01:29.200,00:01:48.381,SPEAKER_26,Unknown speaker,staff,unassigned,Excuse. Diener. Here. DelGiorno. Here. Steppe. Excuse. Douglas Williams. Here. Forsyth. Here. Frazee. Here. Fulgenzi. Here. Guyton. Excused. Hall. Here. Crell. Here. Lathan.,22,h1_2025_12_03_s00012|h1_2025_12_03_s00013|h1_2025_12_03_s00014|h1_2025_12_03_s00015|h1_2025_12_03_s00016|h1_2025_12_03_s00017|h1_2025_12_03_s00018|h1_2025_12_03_s00019|h1_2025_12_03_s00020|h1_2025_12_03_s00021|h1_2025_12_03_s00022|h1_2025_12_03_s00023|h1_2025_12_03_s00024|h1_2025_12_03_s00025|h1_2025_12_03_s00026|h1_2025_12_03_s00027|h1_2025_12_03_s00028|h1_2025_12_03_s00029|h1_2025_12_03_s00030|h1_2025_12_03_s00031|h1_2025_12_03_s00032|h1_2025_12_03_s00033,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,23,19.180999999999997,0,False,0.004274229748604203
h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",h1_2025_12_03_t00014,h1_2025_12_03_t00014,comment,133.178,158.204,00:02:13.178,00:02:38.204,SPEAKER_12,Unknown speaker,official,unassigned,chairman's also present twenty three present six acts thank you mister clark we know we have a number of board members who are still trying to find a place to park but they will be here here shortly and we have a long agenda tonight so we thought it was important to go ahead and get started uh... is there a motion from the flora for organizing this evening's meeting mr delgiano mr delgiano is recognized,1,h1_2025_12_03_s00061,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,78,25.02600000000001,1,True,0.006828371686020001
h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",h1_2025_12_03_t00015,h1_2025_12_03_t00015,comment,163.15,172.881,00:02:43.150,00:02:52.881,SPEAKER_18,Unknown speaker,official,unassigned,"Mr. Chairman, there is a resolution that has been distributed establishing purpose and procedure for today's public hearing on the proposed data center, and I would move that that be adopted.",2,h1_2025_12_03_s00062,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,32,9.730999999999995,0,False,0.00856907708754409
h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",h1_2025_12_03_t00019,h1_2025_12_03_t00019,comment,187.437,194.741,00:03:07.437,00:03:14.741,SPEAKER_30,Unknown speaker,official,unassigned,"Chairman. Mr. Madonia. I move that Mr. Stump, District 16 board member, be appointed chairman of the meeting.",5,h1_2025_12_03_s00071|h1_2025_12_03_s00072|h1_2025_12_03_s00073,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,18,7.304000000000002,0,False,0.009979610655100992
h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",h1_2025_12_03_t00022,h1_2025_12_03_t00022,comment,245.616,533.601,00:04:05.616,00:08:53.601,SPEAKER_25,Unknown speaker,official,unassigned,"Thank you again. The last time we were in this room a few months back, many months back, we were talking about the carbon dioxide lines, and I much appreciated running that meeting, and I thank you for asking me, board members, to run this one. As you can tell, I have a little bit of a cold tonight. You will not get it, sir. First thing I'd like to do is an intro. Thank you, Chairman Van Meter, and thank you to my fellow board members for your confidence in asking me to preside over tonight's hearing. I also want to thank all of the presenters that are here this evening. Every time a presenter gets up here tonight, whether concerned citizens or proponents of this project, I might have them introduce themselves before they start to talk. And I'd like to thank as well every member of the public who took the time to attend. Your participation is an important part of this process. I know that many board members and many members of our community have questions about this project, this proposed project. Tonight we'll give residents the opportunity to hear directly from the developer, from the opponents of the project, and from our professional staff. OUR HOPE IS THAT THESE PRESENTATIONS WILL HELP ADDRESS THE QUESTIONS AND CONCERNS THAT HAVE BEEN RAISED. TONIGHT'S HEARING WILL FOLLOW A STRUCTURED SCHEDULE. WE WILL BEGIN WITH A 30-MINUTE PRESENTATION FROM CYRUS I, FOLLOWED BY A BOARD MEMBER QUESTION VARIANT. AFTER THAT, THE COALITION FOR THE SPRINGFIELD UTILITY FUTURE WILL PROVIDE THEIR 30-MINUTE PRESENTATION, AND AGAIN, FOLLOWED BY QUESTIONS FROM THE BOARD. County staff and subject matter experts will then give their presentation and take board questions. At the conclusion of these presentations, we will move into public comment, where each speaker will have three minutes. I want to remind everyone that only recognized speakers, whether they're presenters, board members, or members of the public, should be speaking at any given time. Please allow them to be heard clearly without interruption in a respectful environment just like we had at the carbon dioxide lines, will allow us to work through the information before us in a constructive manner. I think it's important that we all listen closely to the presentations as your questions may very well be addressed during these sessions. So if you were going to come up and say something, everything that you were going to ask may be answered already. many of you will remember that the twenty twenty three public hearing on the carbon dioxide pipeline that was a long night with many strong opinions that the community showed patients and respect throughout that process i hope we can maintain that same level of civility this evening and i also want to remind uh... the people and uh... the developers and everyone here tonight that has an interest on either side of this project And there was people that were asking for a moratorium. Well, there's going to be basically a de facto moratorium anyway because of the lengthy part of this process, the large scope of the process, and you'll hear more about that tonight. But there's still probably going to be a couple more county board meetings before we even vote for this as county board members. There's going to be a couple more zoning meetings at the county building before we even vote. this project. There's going to be a couple more Zoning Board of Appeals meetings and that's the group of five that will send the County Board the recommendation of a yes or no to the project. And at any of those six that I just told you about the public can come up or any group can come up that signs up and talk and say what they want to say about the project one way or another. Then there will be a final County Board meeting and will also be a final zoning board of appeals meeting and that will be our final vote but normally on these zoning issues things will carry or they'll go a month or two and that's it this one here it may it may get out into the light spring area here but not sure yet i just wanted to let you know that for anyone that wanted a moratorium or thought that they needed more time As always, these big projects work themselves out, and you will get plenty of time to say whatever it is that you want to say to the full county board at any time. Is there any county board members that have any questions before I go into the itinerary, how we do this?",29,h1_2025_12_03_s00083|h1_2025_12_03_s00084|h1_2025_12_03_s00085|h1_2025_12_03_s00086|h1_2025_12_03_s00087|h1_2025_12_03_s00088|h1_2025_12_03_s00089|h1_2025_12_03_s00090|h1_2025_12_03_s00091|h1_2025_12_03_s00092|h1_2025_12_03_s00093|h1_2025_12_03_s00094|h1_2025_12_03_s00095|h1_2025_12_03_s00096|h1_2025_12_03_s00097|h1_2025_12_03_s00098|h1_2025_12_03_s00099|h1_2025_12_03_s00100|h1_2025_12_03_s00101|h1_2025_12_03_s00102|h1_2025_12_03_s00103|h1_2025_12_03_s00104|h1_2025_12_03_s00105|h1_2025_12_03_s00106|h1_2025_12_03_s00107|h1_2025_12_03_s00108|h1_2025_12_03_s00109|h1_2025_12_03_s00110|h1_2025_12_03_s00111|h1_2025_12_03_s00112|h1_2025_12_03_s00113|h1_2025_12_03_s00114|h1_2025_12_03_s00115|h1_2025_12_03_s00116|h1_2025_12_03_s00117,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,804,287.985,1,True,0.013358514283663313
h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",h1_2025_12_03_t00029,h1_2025_12_03_t00029,comment,638.713,722.231,00:10:38.713,00:12:02.231,SPEAKER_14,Unknown speaker,developer,unassigned,"Very good. Thank you, everyone, for coming out tonight. This has been an incredible turnout. Greatly appreciate you taking time out of your lives and your evening to learn more about this project, and I hope that we're able to deliver some information that answers the questions that you have, and we're happy to provide any follow-up answers to questions that come after this as well. So I'm joined here tonight by a few colleagues, seen here up on the screen and seated here to the right, which are available to help me answer questions. They may come up from the county board members as we proceed with the evening's activities. As a matter of introduction, for those that aren't familiar, Cyrus One, we're a global owner, operator, and developer of data centers. We're based in Dallas, Texas, and we operate over 55 data centers across the United States, Europe, and Japan. While we're based in Dallas, we have a significant presence in Illinois currently. We've invested over $1.2 billion in Illinois, with four operational data centers currently and six in development. across these activities in northern Illinois currently we're supporting hundreds of employees and contractors currently. The idea of this project is to bring this economic impact, these jobs and this investment to central Illinois. And with this campus it represents a continued commitment to bringing additional economic investment to communities across the state.",12,h1_2025_12_03_s00138|h1_2025_12_03_s00139|h1_2025_12_03_s00140|h1_2025_12_03_s00141|h1_2025_12_03_s00142|h1_2025_12_03_s00143|h1_2025_12_03_s00144|h1_2025_12_03_s00145|h1_2025_12_03_s00146|h1_2025_12_03_s00147|h1_2025_12_03_s00148|h1_2025_12_03_s00149|h1_2025_12_03_s00150,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,247,83.51800000000003,0,False,0.03618869148981952
h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",h1_2025_12_03_t00030,h1_2025_12_03_t00030,comment,733.198,747.711,00:12:13.198,00:12:27.711,SPEAKER_14,Unknown speaker,developer,unassigned,"Further into the introduction, I wanted to provide an overview of the sites that we operate. So we've got a presence in North America. We operate in Europe across multiple countries. We have a small presence in Japan as a result of a joint venture we have with a power company there.",4,h1_2025_12_03_s00151|h1_2025_12_03_s00152|h1_2025_12_03_s00153|h1_2025_12_03_s00154,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,53,14.513000000000034,0,False,0.041676164793669895
