hearing_id,speaker_role,n_comments,n_words,speaking_minutes,unique_speakers
h1_2025_12_03,consultant,24,5015,30.142183333333286,1
h1_2025_12_03,developer,61,7479,40.19096666666669,1
h1_2025_12_03,official,299,12120,74.43811666666663,1
h1_2025_12_03,public,96,15120,88.5720333333334,1
h1_2025_12_03,staff,30,2022,14.373166666666615,1
h1_2025_12_03,unknown,30,762,5.5983999999998995,1
h2_2026_03_23,consultant,1,544,3.267733333333331,1
h2_2026_03_23,developer,11,3374,19.207483333333343,1
h2_2026_03_23,official,152,3639,23.983066666666755,1
h2_2026_03_23,public,152,24777,148.48218333333315,1
h2_2026_03_23,staff,57,488,3.8703833333332427,1
