hearing_id,speaker_type,n_comments,total_words,median_comment_words,question_comments,distinct_named_speakers,distinct_single_clusters,comments_without_single_name,comment_share_pct,word_share_pct,question_comment_pct,title
h1_2025_12_03,public,96,15120,91.5,42,0,22,96,17.77777777777778,35.561409285479094,43.75,"Data-center hearing — December 3, 2025"
h1_2025_12_03,official,299,12120,17.0,139,0,15,299,55.370370370370374,28.505574109788796,46.48829431438127,"Data-center hearing — December 3, 2025"
h1_2025_12_03,developer,61,7479,57.0,13,0,3,61,11.296296296296296,17.590197092995908,21.311475409836067,"Data-center hearing — December 3, 2025"
h1_2025_12_03,consultant,24,5015,65.5,13,0,2,24,4.444444444444445,11.79500446869561,54.166666666666664,"Data-center hearing — December 3, 2025"
h1_2025_12_03,staff,30,2022,21.0,2,0,3,30,5.555555555555555,4.75563290841526,6.666666666666667,"Data-center hearing — December 3, 2025"
h1_2025_12_03,unknown,30,762,3.0,2,0,3,30,5.555555555555555,1.792182134625335,6.666666666666667,"Data-center hearing — December 3, 2025"
h2_2026_03_23,public,152,24777,116.0,64,0,67,152,40.75067024128686,75.48900127962952,42.10526315789474,"Data-center hearing — March 23, 2026"
h2_2026_03_23,official,152,3639,10.5,20,0,8,152,40.75067024128686,11.087075741880446,13.157894736842104,"Data-center hearing — March 23, 2026"
h2_2026_03_23,developer,11,3374,32.0,3,0,2,11,2.9490616621983916,10.279690451526415,27.272727272727273,"Data-center hearing — March 23, 2026"
h2_2026_03_23,consultant,1,544,544.0,1,0,1,1,0.2680965147453083,1.6574248979343122,100.0,"Data-center hearing — March 23, 2026"
h2_2026_03_23,staff,57,488,2.0,20,0,1,57,15.281501340482574,1.4868076290293095,35.08771929824562,"Data-center hearing — March 23, 2026"
