scope_type,scope_value,ngram_n,term,count,document_frequency,document_share,occurrences_per_million_same_order,rank_within_scope_and_order,n_documents_in_scope,contains_number,contains_english_stopword,contains_custom_stopword,all_tokens_custom_stopwords
overall,all_hearings,1,the,3133,424,0.8617886178861789,44754.58545225987,1,492,False,True,True,True
overall,all_hearings,1,to,2503,413,0.8394308943089431,35755.09970858808,2,492,False,True,True,True
overall,all_hearings,1,and,2054,370,0.7520325203252033,29341.1805039712,3,492,False,True,True,True
overall,all_hearings,1,that,1777,361,0.733739837398374,25384.26375635678,4,492,False,True,True,True
overall,all_hearings,1,of,1503,336,0.6829268292682927,21470.20170275984,5,492,False,True,True,True
overall,all_hearings,1,a,1322,325,0.6605691056910569,18884.63516370493,6,492,False,True,True,True
overall,all_hearings,1,i,1200,311,0.6321138211382114,17141.877606993887,7,492,False,True,True,True
overall,all_hearings,1,in,1000,302,0.6138211382113821,14284.898005828238,8,492,False,True,True,True
overall,all_hearings,1,you,995,318,0.6463414634146342,14213.473515799096,9,492,False,True,True,True
overall,all_hearings,1,is,967,299,0.6077235772357723,13813.496371635905,10,492,False,True,True,True
overall,all_hearings,1,this,869,262,0.532520325203252,12413.57636706474,11,492,False,True,True,True
overall,all_hearings,1,we,734,239,0.48577235772357724,10485.115136277926,12,492,False,True,True,True
overall,all_hearings,1,for,725,263,0.5345528455284553,10356.551054225474,13,492,False,True,True,True
overall,all_hearings,1,it,658,237,0.4817073170731707,9399.462887834981,14,492,False,True,True,True
overall,all_hearings,1,so,610,248,0.5040650406504065,8713.787783555224,15,492,False,True,True,True
overall,all_hearings,1,have,580,246,0.5,8285.24084338038,16,492,False,True,True,True
overall,all_hearings,1,are,517,210,0.4268292682926829,7385.2922690132,17,492,False,True,True,True
overall,all_hearings,1,be,515,242,0.491869918699187,7356.722473001543,18,492,False,True,True,True
overall,all_hearings,1,on,505,240,0.4878048780487805,7213.87349294326,19,492,False,True,True,True
overall,all_hearings,1,they,427,162,0.32926829268292684,6099.6514484886575,20,492,False,True,True,True
overall,all_hearings,1,not,422,204,0.4146341463414634,6028.226958459517,21,492,False,True,True,True
overall,all_hearings,1,with,395,192,0.3902439024390244,5642.534712302154,22,492,False,True,True,True
overall,all_hearings,1,our,374,149,0.30284552845528456,5342.551854179761,23,492,False,True,True,True
overall,all_hearings,1,but,368,209,0.4247967479674797,5256.842466144792,24,492,False,True,True,True
overall,all_hearings,1,data,354,163,0.3313008130081301,5056.853894063197,25,492,False,False,True,True
overall,all_hearings,1,all,337,174,0.35365853658536583,4814.010627964116,26,492,False,True,True,True
overall,all_hearings,1,what,335,172,0.34959349593495936,4785.44083195246,27,492,False,True,True,True
overall,all_hearings,1,about,333,174,0.35365853658536583,4756.871035940803,28,492,False,True,True,True
overall,all_hearings,1,going,321,162,0.32926829268292684,4585.4522598708645,29,492,False,False,False,False
overall,all_hearings,1,it's,317,163,0.3313008130081301,4528.312667847551,30,492,False,False,False,False
overall,all_hearings,1,if,304,171,0.3475609756097561,4342.608993771785,31,492,False,True,True,True
overall,all_hearings,1,from,289,158,0.32113821138211385,4128.335523684361,32,492,False,True,True,True
overall,all_hearings,1,i'm,287,171,0.3475609756097561,4099.765727672704,33,492,False,False,False,False
overall,all_hearings,1,just,285,166,0.33739837398373984,4071.1959316610482,34,492,False,False,False,False
overall,all_hearings,1,as,284,134,0.27235772357723576,4056.91103365522,35,492,False,True,True,True
overall,all_hearings,1,county,282,129,0.2621951219512195,4028.341237643563,36,492,False,False,False,False
overall,all_hearings,1,one,280,168,0.34146341463414637,3999.7714416319063,37,492,False,True,True,True
overall,all_hearings,1,my,278,151,0.30691056910569103,3971.2016456202505,38,492,False,True,True,True
overall,all_hearings,1,there,277,154,0.3130081300813008,3956.916747614422,39,492,False,True,True,True
overall,all_hearings,1,know,276,147,0.29878048780487804,3942.6318496085937,40,492,False,False,False,False
overall,all_hearings,1,do,268,153,0.31097560975609756,3828.352665561968,41,492,False,True,True,True
overall,all_hearings,1,that's,266,144,0.2926829268292683,3799.7828695503113,42,492,False,False,False,False
overall,all_hearings,1,was,266,136,0.2764227642276423,3799.7828695503113,43,492,False,True,True,True
overall,all_hearings,1,here,264,136,0.2764227642276423,3771.213073538655,44,492,False,True,True,True
overall,all_hearings,1,or,260,149,0.30284552845528456,3714.073481515342,45,492,False,True,True,True
overall,all_hearings,1,at,251,129,0.2621951219512195,3585.509399462888,46,492,False,True,True,True
overall,all_hearings,1,will,235,124,0.25203252032520324,3356.951031369636,47,492,False,True,True,True
overall,all_hearings,1,up,231,146,0.2967479674796748,3299.811439346323,48,492,False,True,True,True
overall,all_hearings,1,can,214,144,0.2926829268292683,3056.968173247243,49,492,False,True,True,True
overall,all_hearings,1,your,214,132,0.2682926829268293,3056.968173247243,50,492,False,True,True,True
overall,all_hearings,1,board,209,119,0.241869918699187,2985.5436832181017,51,492,False,False,False,False
overall,all_hearings,1,these,208,119,0.241869918699187,2971.258785212274,52,492,False,True,True,True
overall,all_hearings,1,want,206,125,0.2540650406504065,2942.688989200617,53,492,False,False,False,False
overall,all_hearings,1,center,206,117,0.23780487804878048,2942.688989200617,54,492,False,False,True,True
overall,all_hearings,1,people,205,113,0.22967479674796748,2928.404091194789,55,492,False,False,False,False
overall,all_hearings,1,would,204,122,0.24796747967479674,2914.1191931889607,56,492,False,True,True,True
overall,all_hearings,1,don't,198,128,0.2601626016260163,2828.4098051539913,57,492,False,False,False,False
overall,all_hearings,1,out,198,120,0.24390243902439024,2828.4098051539913,58,492,False,True,True,True
overall,all_hearings,1,like,192,120,0.24390243902439024,2742.700417119022,59,492,False,False,False,False
overall,all_hearings,1,because,192,118,0.23983739837398374,2742.700417119022,60,492,False,True,True,True
overall,all_hearings,1,thank,180,137,0.2784552845528455,2571.281641049083,61,492,False,False,False,False
overall,all_hearings,1,we're,175,93,0.18902439024390244,2499.8571510199417,62,492,False,False,False,False
overall,all_hearings,1,other,173,116,0.23577235772357724,2471.2873550082854,63,492,False,True,True,True
overall,all_hearings,1,time,168,117,0.23780487804878048,2399.862864979144,64,492,False,False,False,False
overall,all_hearings,1,their,166,92,0.18699186991869918,2371.2930689674877,65,492,False,True,True,True
overall,all_hearings,1,right,160,112,0.22764227642276422,2285.5836809325183,66,492,False,False,False,False
overall,all_hearings,1,think,159,104,0.21138211382113822,2271.29878292669,67,492,False,False,False,False
overall,all_hearings,1,no,159,103,0.20934959349593496,2271.29878292669,68,492,False,True,True,True
overall,all_hearings,1,there's,156,80,0.16260162601626016,2228.444088909205,69,492,False,False,False,False
overall,all_hearings,1,water,156,47,0.09552845528455285,2228.444088909205,70,492,False,False,False,False
overall,all_hearings,1,by,155,107,0.21747967479674796,2214.1591909033773,71,492,False,True,True,True
overall,all_hearings,1,an,155,92,0.18699186991869918,2214.1591909033773,72,492,False,True,True,True
overall,all_hearings,1,now,151,108,0.21951219512195122,2157.019598880064,73,492,False,True,True,True
overall,all_hearings,1,those,150,94,0.1910569105691057,2142.734700874236,74,492,False,True,True,True
overall,all_hearings,1,okay,149,99,0.20121951219512196,2128.4498028684075,75,492,False,False,True,True
overall,all_hearings,1,has,149,98,0.1991869918699187,2128.4498028684075,76,492,False,True,True,True
overall,all_hearings,1,when,145,97,0.19715447154471544,2071.310210845095,77,492,False,True,True,True
overall,all_hearings,1,how,144,83,0.16869918699186992,2057.0253128392665,78,492,False,True,True,True
overall,all_hearings,1,centers,142,85,0.17276422764227642,2028.45551682761,79,492,False,False,True,True
overall,all_hearings,1,project,140,69,0.1402439024390244,1999.8857208159532,80,492,False,False,False,False
overall,all_hearings,1,more,139,91,0.18495934959349594,1985.6008228101252,81,492,False,True,True,True
overall,all_hearings,1,some,137,100,0.2032520325203252,1957.0310267984685,82,492,False,True,True,True
overall,all_hearings,1,us,129,79,0.16056910569105692,1842.7518427518428,83,492,False,True,True,True
overall,all_hearings,1,need,128,73,0.1483739837398374,1828.4669447460144,84,492,False,False,False,False
overall,all_hearings,1,been,126,87,0.17682926829268292,1799.897148734358,85,492,False,True,True,True
overall,all_hearings,1,get,125,92,0.18699186991869918,1785.6122507285297,86,492,False,True,True,True
overall,all_hearings,1,also,125,88,0.17886178861788618,1785.6122507285297,87,492,False,True,True,True
overall,all_hearings,1,very,124,80,0.16260162601626016,1771.3273527227016,88,492,False,True,True,True
overall,all_hearings,1,who,123,78,0.15853658536585366,1757.0424547168734,89,492,False,True,True,True
overall,all_hearings,1,go,120,88,0.17886178861788618,1714.1877606993885,90,492,False,True,True,True
overall,all_hearings,1,they're,120,80,0.16260162601626016,1714.1877606993885,91,492,False,False,False,False
overall,all_hearings,1,say,119,82,0.16666666666666666,1699.9028626935603,92,492,False,False,False,False
overall,all_hearings,1,jobs,119,54,0.10975609756097561,1699.9028626935603,93,492,False,False,False,False
overall,all_hearings,1,things,112,76,0.15447154471544716,1599.9085766527628,94,492,False,False,False,False
overall,all_hearings,1,sangamon,112,65,0.13211382113821138,1599.9085766527628,95,492,False,False,False,False
overall,all_hearings,1,see,111,77,0.1565040650406504,1585.6236786469344,96,492,False,True,True,True
overall,all_hearings,1,tonight,106,70,0.14227642276422764,1514.1991886177932,97,492,False,False,False,False
overall,all_hearings,1,two,105,75,0.1524390243902439,1499.914290611965,98,492,False,True,True,True
overall,all_hearings,1,me,104,73,0.1483739837398374,1485.629392606137,99,492,False,True,True,True
overall,all_hearings,1,had,104,69,0.1402439024390244,1485.629392606137,100,492,False,True,True,True
overall,all_hearings,1,then,102,71,0.1443089430894309,1457.0595965944804,101,492,False,True,True,True
overall,all_hearings,1,cyrus,102,60,0.12195121951219512,1457.0595965944804,102,492,False,False,False,False
overall,all_hearings,1,illinois,101,63,0.12804878048780488,1442.7746985886522,103,492,False,False,False,False
overall,all_hearings,1,members,100,71,0.1443089430894309,1428.4898005828238,104,492,False,False,False,False
overall,all_hearings,1,years,100,69,0.1402439024390244,1428.4898005828238,105,492,False,False,False,False
overall,all_hearings,1,community,100,56,0.11382113821138211,1428.4898005828238,106,492,False,False,False,False
overall,all_hearings,1,well,99,71,0.1443089430894309,1414.2049025769957,107,492,False,True,True,True
overall,all_hearings,1,good,96,72,0.14634146341463414,1371.350208559511,108,492,False,False,False,False
overall,all_hearings,1,any,95,69,0.1402439024390244,1357.0653105536826,109,492,False,True,True,True
overall,all_hearings,1,them,94,66,0.13414634146341464,1342.7804125478544,110,492,False,True,True,True
overall,all_hearings,1,could,91,68,0.13821138211382114,1299.9257185303697,111,492,False,True,True,True
overall,all_hearings,1,zoning,91,39,0.07926829268292683,1299.9257185303697,112,492,False,False,False,False
overall,all_hearings,1,over,89,66,0.13414634146341464,1271.3559225187132,113,492,False,True,True,True
overall,all_hearings,1,thing,89,63,0.12804878048780488,1271.3559225187132,114,492,False,False,False,False
overall,all_hearings,1,into,89,55,0.11178861788617886,1271.3559225187132,115,492,False,True,True,True
overall,all_hearings,1,you're,88,65,0.13211382113821138,1257.071024512885,116,492,False,False,False,False
overall,all_hearings,1,which,87,69,0.1402439024390244,1242.786126507057,117,492,False,True,True,True
overall,all_hearings,1,make,87,61,0.12398373983739837,1242.786126507057,118,492,False,False,False,False
overall,all_hearings,1,many,87,59,0.11991869918699187,1242.786126507057,119,492,False,True,True,True
overall,all_hearings,1,much,86,64,0.13008130081300814,1228.5012285012285,120,492,False,True,True,True
overall,all_hearings,1,next,85,59,0.11991869918699187,1214.2163304954004,121,492,False,True,True,True
overall,all_hearings,1,where,84,65,0.13211382113821138,1199.931432489572,122,492,False,True,True,True
overall,all_hearings,1,lot,84,64,0.13008130081300814,1199.931432489572,123,492,False,False,False,False
overall,all_hearings,1,were,83,62,0.12601626016260162,1185.6465344837438,124,492,False,True,True,True
overall,all_hearings,1,work,83,43,0.08739837398373984,1185.6465344837438,125,492,False,False,False,False
overall,all_hearings,1,building,81,50,0.1016260162601626,1157.0767384720873,126,492,False,False,False,False
overall,all_hearings,1,noise,80,35,0.07113821138211382,1142.7918404662591,127,492,False,False,False,False
overall,all_hearings,1,public,79,52,0.10569105691056911,1128.506942460431,128,492,False,False,False,False
overall,all_hearings,1,we've,77,49,0.09959349593495935,1099.9371464487745,129,492,False,False,False,False
overall,all_hearings,1,name,75,74,0.15040650406504066,1071.367350437118,130,492,False,True,True,True
overall,all_hearings,1,question,75,61,0.12398373983739837,1071.367350437118,131,492,False,False,False,False
overall,all_hearings,1,already,75,51,0.10365853658536585,1071.367350437118,132,492,False,True,True,True
overall,all_hearings,1,local,74,49,0.09959349593495935,1057.0824524312898,133,492,False,False,False,False
overall,all_hearings,1,down,73,46,0.09349593495934959,1042.7975544254614,134,492,False,True,True,True
overall,all_hearings,1,power,73,46,0.09349593495934959,1042.7975544254614,135,492,False,False,False,False
overall,all_hearings,1,generators,73,35,0.07113821138211382,1042.7975544254614,136,492,False,False,False,False
overall,all_hearings,1,take,72,59,0.11991869918699187,1028.5126564196332,137,492,False,True,True,True
overall,all_hearings,1,only,72,53,0.10772357723577236,1028.5126564196332,138,492,False,True,True,True
overall,all_hearings,1,tax,72,43,0.08739837398373984,1028.5126564196332,139,492,False,False,False,False
overall,all_hearings,1,through,70,53,0.10772357723577236,999.9428604079766,140,492,False,True,True,True
overall,all_hearings,1,use,70,40,0.08130081300813008,999.9428604079766,141,492,False,False,False,False
overall,all_hearings,1,job,69,45,0.09146341463414634,985.6579624021484,142,492,False,False,False,False
overall,all_hearings,1,year,69,40,0.08130081300813008,985.6579624021484,143,492,False,False,False,False
overall,all_hearings,1,come,68,53,0.10772357723577236,971.3730643963202,144,492,False,False,False,False
overall,all_hearings,1,speak,68,44,0.08943089430894309,971.3730643963202,145,492,False,False,False,False
overall,all_hearings,1,energy,68,40,0.08130081300813008,971.3730643963202,146,492,False,False,False,False
overall,all_hearings,1,being,67,55,0.11178861788617886,957.088166390492,147,492,False,True,True,True
overall,all_hearings,1,really,67,46,0.09349593495934959,957.088166390492,148,492,False,False,False,False
overall,all_hearings,1,please,67,41,0.08333333333333333,957.088166390492,149,492,False,True,True,True
overall,all_hearings,1,yes,66,54,0.10975609756097561,942.8032683846637,150,492,False,False,False,False
overall,all_hearings,1,mean,66,49,0.09959349593495935,942.8032683846637,151,492,False,False,False,False
overall,all_hearings,1,new,66,45,0.09146341463414634,942.8032683846637,152,492,False,False,False,False
overall,all_hearings,1,springfield,66,42,0.08536585365853659,942.8032683846637,153,492,False,False,False,False
overall,all_hearings,1,sure,65,53,0.10772357723577236,928.5183703788355,154,492,False,False,False,False
overall,all_hearings,1,i've,65,51,0.10365853658536585,928.5183703788355,155,492,False,False,False,False
overall,all_hearings,1,said,64,57,0.11585365853658537,914.2334723730072,156,492,False,False,False,False
overall,all_hearings,1,union,64,41,0.08333333333333333,914.2334723730072,157,492,False,False,False,False
overall,all_hearings,1,coming,63,52,0.10569105691056911,899.948574367179,158,492,False,False,False,False
overall,all_hearings,1,back,63,48,0.0975609756097561,899.948574367179,159,492,False,True,True,True
overall,all_hearings,1,questions,63,48,0.0975609756097561,899.948574367179,160,492,False,False,False,False
overall,all_hearings,1,health,61,24,0.04878048780487805,871.3787783555225,161,492,False,False,False,False
overall,all_hearings,1,heard,60,43,0.08739837398373984,857.0938803496942,162,492,False,False,False,False
overall,all_hearings,1,look,60,37,0.07520325203252033,857.0938803496942,163,492,False,False,False,False
overall,all_hearings,1,did,59,51,0.10365853658536585,842.8089823438661,164,492,False,False,False,False
overall,all_hearings,1,last,59,50,0.1016260162601626,842.8089823438661,165,492,False,True,True,True
overall,all_hearings,1,put,59,50,0.1016260162601626,842.8089823438661,166,492,False,True,True,True
overall,all_hearings,1,first,58,51,0.10365853658536585,828.5240843380378,167,492,False,True,True,True
overall,all_hearings,1,still,58,49,0.09959349593495935,828.5240843380378,168,492,False,True,True,True
overall,all_hearings,1,again,58,37,0.07520325203252033,828.5240843380378,169,492,False,True,True,True
overall,all_hearings,1,ai,58,29,0.05894308943089431,828.5240843380378,170,492,False,False,False,False
overall,all_hearings,1,than,57,50,0.1016260162601626,814.2391863322096,171,492,False,True,True,True
overall,all_hearings,1,mr,57,38,0.07723577235772358,814.2391863322096,172,492,False,False,False,False
