ngram_n,term,h1_2025_12_03,h2_2026_03_23,count_all_hearings
1,0,0,1,1
1,0.2%,1,0,1
1,0.4%,1,0,1
1,0600,2,0,2
1,1,23,30,53
1,1%,0,1,1
1,"1,000",3,1,4
1,"1,000%",1,0,1
1,"1,007",0,1,1
1,"1,100",1,1,2
1,"1,375",0,1,1
1,"1,438,457.96",0,1,1
1,"1,500",0,1,1
1,1.2,2,0,2
1,1.5,0,1,1
1,1.7,1,0,1
1,1.8,0,1,1
1,10,14,22,36
1,10%,0,2,2
1,"10,000",1,1,2
1,100,27,17,44
1,100%,2,1,3
1,"100,000",3,2,5
1,1027,0,1,1
1,104,1,2,3
1,107,1,0,1
1,109,1,0,1
1,10th,2,0,2
1,1100,1,0,1
1,118,1,0,1
1,12,5,4,9
1,120,0,1,1
1,"120,000",2,1,3
1,121,1,0,1
1,"124,264",1,0,1
1,13,2,1,3
1,"13,000",0,2,2
1,1350,1,0,1
1,137,1,2,3
1,"137,000",3,0,3
1,14,0,1,1
1,14%,0,1,1
1,"140,000",0,1,1
1,15,6,9,15
1,15%,0,1,1
1,"150,000",0,1,1
1,152,0,1,1
1,16,5,2,7
1,160,1,0,1
1,1739,0,1,1
1,175,0,1,1
1,176,0,1,1
1,18,2,0,2
1,180,3,0,3
1,1811,0,1,1
1,1850,0,1,1
1,1877,0,1,1
1,18th,1,0,1
1,1933,1,0,1
1,1936,1,0,1
1,196,1,0,1
1,1977,0,1,1
1,1979,1,0,1
1,1987,1,0,1
1,2,4,6,10
1,"2,000",1,0,1
1,"2,423,815.67",0,1,1
1,"2,510",0,1,1
1,2.04,0,1,1
1,2.04.140,0,2,2
1,2.04.250,0,1,1
1,2.5,1,0,1
1,20,15,11,26
1,20%,0,3,3
1,200,0,2,2
1,"200,000",0,1,1
1,2000,1,0,1
1,2000s,0,1,1
1,2006,1,0,1
1,2012,0,1,1
1,2016,0,1,1
1,2019,2,1,3
1,2021,2,0,2
1,2023,2,0,2
1,2024,1,2,3
1,2025,3,2,5
1,2026,2,1,3
1,2030,9,2,11
1,2033,2,0,2
1,2045,0,1,1
1,20th,3,0,3
1,21,1,0,1
1,"21,085",0,1,1
1,210,0,1,1
1,"212,500,000",2,0,2
1,22,0,1,1
1,22%,1,0,1
1,223,1,0,1
1,"225,000",2,0,2
1,22nd,0,1,1
1,23,1,1,2
1,232,0,1,1
1,24,6,7,13
1,25,0,2,2
1,250,0,1,1
1,26,3,3,6
1,260,0,1,1
1,267%,1,0,1
1,27,1,2,3
1,270,2,0,2
1,2789,0,1,1
1,28,2,2,4
1,280,8,3,11
1,29,2,0,2
1,2nd,1,0,1
1,3,2,4,6
1,3%,0,1,1
1,"3,000",2,0,2
1,"3,949,280.80",1,0,1
1,3.5,4,0,4
1,30,13,13,26
1,30%,0,1,1
1,300,3,2,5
1,"300,000",4,0,4
1,33,0,1,1
1,330,1,0,1
1,336,4,0,4
1,34,0,2,2
1,345,1,2,3
1,35,1,1,2
1,350,2,0,2
1,365,1,2,3
1,3738,0,1,1
1,38,0,1,1
1,385,0,1,1
1,4,4,8,12
1,4%,0,1,1
1,"4,000",4,1,5
1,"4,100",4,0,4
1,"4,616",0,1,1
1,40,4,2,6
1,400,1,2,3
1,401,1,0,1
1,404,1,0,1
1,40s,0,1,1
1,42,1,0,1
1,420,0,5,5
1,"420,000",2,0,2
1,"450,000",0,2,2
1,"453,000",0,1,1
1,"453,036",1,0,1
1,46,0,2,2
1,"46,407",0,1,1
1,477,0,2,2
1,48,0,4,4
1,4980,0,1,1
1,5,2,5,7
1,5.04,0,1,1
1,5.04.040,0,1,1
1,5.04.050,0,1,1
1,5.04.080,0,1,1
1,5.25,1,0,1
1,50,8,4,12
1,50%,3,1,4
1,"50,000",0,1,1
1,500,6,4,10
1,"500,000",1,0,1
1,52,1,0,1
1,"525,926",0,1,1
1,55,4,1,5
1,56,5,0,5
1,6,3,2,5
1,"6,000",1,0,1
1,60,3,1,4
1,60%,1,0,1
1,600,13,5,18
1,"600,000",1,0,1
1,607,1,0,1
1,61.64,1,0,1
1,636,8,0,8
1,"65,000",0,1,1
1,"65,653,422.59",1,0,1
1,6600,1,0,1
1,666,2,0,2
1,68,0,2,2
1,6th,1,0,1
1,7,3,10,13
1,7.5%,0,1,1
1,70,2,2,4
1,70%,2,3,5
1,700,1,3,4
1,708,0,1,1
1,745,1,0,1
1,750,1,1,2
1,770,0,1,1
1,8,4,1,5
1,80,1,1,2
1,"80,000",2,0,2
1,800,3,0,3
1,"83,000",0,2,2
1,84,1,0,1
1,"89,570.85",0,1,1
1,8th,0,1,1
