term,count_h1_2025_12_03,count_h2_2026_03_23,log_odds_difference,z_score
question,63,12,1.443858137455332,4.605851751457894
mean,57,9,1.629409953729187,4.568472880199754
questions,53,10,1.4529073620717519,4.234323405124847
capacity,44,7,1.6214568558953761,4.0072166165169305
supply,39,3,2.336283438239609,3.944114443406256
energy,54,14,1.1375994570238888,3.806755770010724
projects,36,3,2.257815683963268,3.7971640685619903
power,57,16,1.0587132394780907,3.7546463990126173
demand,29,3,2.045290476395116,3.401573507763171
megawatts,28,4,1.7271643147021694,3.2516875679621657
think,108,51,0.5417599215155677,3.1958024455893312
utility,27,5,1.470447624121852,3.035205194171621
electricity,23,3,1.8166933904991645,2.980098410896328
market,25,1,2.9685656228698676,2.9754480994662926
miso,24,4,1.5746006151228515,2.931608248245588
different,27,6,1.289732888930664,2.869559125969975
buildings,30,8,1.1088589107479399,2.796591476178824
rates,22,4,1.4883908212806594,2.7521389191963985
cost,25,6,1.213293619576386,2.679341358166556
left,19,3,1.6278027153002963,2.6354486899202563
sound,17,2,1.9179825108497823,2.5856973076767416
generation,17,2,1.9179825108497823,2.5856973076767416
continue,18,3,1.5742818253728377,2.5384919553966796
natural,16,2,1.8581839381598346,2.495832202458474
cooling,16,2,1.8581839381598346,2.495832202458474
things,75,37,0.4975448690871245,2.4820229744606404
transmission,21,5,1.2210410784217194,2.4635300970901954
costs,21,5,1.2210410784217194,2.4635300970901954
county board,54,24,0.6012105288552387,2.456417582254426
hours,19,4,1.3430039808068273,2.452169010173374
pretty,17,3,1.517672438308626,2.4363173919401464
facilities,17,3,1.517672438308626,2.4363173919401464
way,40,16,0.7058657075064314,2.392332112325409
information,33,12,0.8005702314117586,2.3813882966968616
development,22,6,1.086255708668471,2.3668090609719057
online,14,1,2.4067080130846277,2.354992538944146
sir,14,1,2.4067080130846277,2.354992538944146
carbon,14,1,2.4067080130846277,2.354992538944146
hand,16,3,1.4575999834562863,2.3283480759461583
production,14,2,1.7263149592930107,2.2985957998168454
deal,14,2,1.7263149592930107,2.2985957998168454
help,23,7,0.9772915447334922,2.271234384600034
look,42,18,0.6371985870902295,2.2673048169788004
companies,21,6,1.040005188567247,2.2542640841928945
sure,45,20,0.6010308482941733,2.2417353263315865
gas,19,5,1.1216098809825814,2.2396380400464553
sorry,19,5,1.1216098809825814,2.2396380400464553
probably,19,5,1.1216098809825814,2.2396380400464553
price,12,1,2.255880649318839,2.19155843499705
example,12,1,2.255880649318839,2.19155843499705
summer,12,1,2.255880649318839,2.19155843499705
renewable,13,2,1.6530446069340892,2.189613047502977
board members,41,18,0.6131733192986859,2.1737943865356044
trying,29,11,0.7584694986253195,2.147626467156108
went,18,5,1.0678732856037545,2.1197650687839626
customers,16,4,1.1723951978000553,2.1053015433216418
region,16,4,1.1723951978000553,2.1053015433216418
load,16,4,1.1723951978000553,2.1053015433216418
plus,11,1,2.1705407867033353,2.0995494843905838
power plant,11,1,2.1705407867033353,2.0995494843905838
space,14,3,1.325184759033701,2.092202956570445
answer,14,3,1.325184759033701,2.092202956570445
value,14,3,1.325184759033701,2.092202956570445
line,25,9,0.8103544522250266,2.090421448458656
group,12,2,1.5738449790125113,2.0723539847021923
right,103,60,0.3320451964072699,2.048628097373736
given,21,7,0.8867824464979144,2.0379170760039482
generators,49,24,0.5042753347568167,2.0284751843512074
terms,19,6,0.940469211635377,2.0145580482795413
growth,19,6,0.940469211635377,2.0145580482795413
fair,10,1,2.0769101965539294,1.9989775612221663
permanent jobs,10,1,2.0769101965539294,1.9989775612221663
specific,10,1,2.0769101965539294,1.9989775612221663
responsible,10,1,2.0769101965539294,1.9989775612221663
moratorium,17,5,1.0110491715975316,1.9939420916931485
communities,24,9,0.7697097012582139,1.9745497243040766
chairman,13,3,1.25164245874228,1.9622824819269724
guess,11,2,1.4876834334588471,1.945493608544327
coalition,11,2,1.4876834334588471,1.945493608544327
got,37,17,0.5677690806288629,1.9422454901447297
grid,27,11,0.6872911824412951,1.9263057050329881
building,54,28,0.44754238688677006,1.9258818339511052
infrastructure,25,10,0.7055066980326892,1.8903930638113293
point,30,13,0.6259346192592306,1.889625356297725
understanding,9,1,1.9732390955577284,1.8880842377027314
utilities,9,1,1.9732390955577284,1.8880842377027314
seconds,9,1,1.9732390955577284,1.8880842377027314
brad,9,1,1.9732390955577284,1.8880842377027314
type,9,1,1.9732390955577284,1.8880842377027314
light,9,1,1.9732390955577284,1.8880842377027314
follow,9,1,1.9732390955577284,1.8880842377027314
economic,18,6,0.8866808918710145,1.8865606002927993
facility,28,12,0.6368929698627781,1.8503952811207107
central,14,4,1.039712613487909,1.8401915564516047
case,12,3,1.1721720589134632,1.8230080209293769
love,12,3,1.1721720589134632,1.8230080209293769
impacts,12,3,1.1721720589134632,1.8230080209293769
reliability,12,3,1.1721720589134632,1.8230080209293769
quick,10,2,1.3932316445671518,1.8073714302825812
plants,10,2,1.3932316445671518,1.8073714302825812
usage,10,2,1.3932316445671518,1.8073714302825812
come,45,23,0.4617435061856838,1.8053153301760216
revenue,24,10,0.6648458388985699,1.7708063473000406
amendments,8,1,1.857157919190982,1.76452077784063
customer,8,1,1.857157919190982,1.76452077784063
depreciation,8,1,1.857157919190982,1.76452077784063
failure,8,1,1.857157919190982,1.76452077784063
chillers,8,1,1.857157919190982,1.76452077784063
mr chairman,8,1,1.857157919190982,1.76452077784063
network,8,1,1.857157919190982,1.76452077784063
story,8,1,1.857157919190982,1.76452077784063
ground,8,1,1.857157919190982,1.76452077784063
looked,8,1,1.857157919190982,1.76452077784063
prairie,8,1,1.857157919190982,1.76452077784063
closed loop,8,1,1.857157919190982,1.76452077784063
kind,32,15,0.5477272655028749,1.7544048641011039
forward,15,5,0.8865684933567017,1.7220090110662447
hour,15,5,0.8865684933567017,1.7220090110662447
period,13,4,0.9660381945480774,1.6950335736622473
world,13,4,0.9660381945480774,1.6950335736622473
make sure,20,8,0.7053742579054791,1.6905315973514599
member,20,8,0.7053742579054791,1.6905315973514599
today,20,8,0.7053742579054791,1.6905315973514599
mentioned,20,8,0.7053742579054791,1.6905315973514599
closed,11,3,1.0857413462969756,1.6729956698159894
numbers,11,3,1.0857413462969756,1.6729956698159894
total,11,3,1.0857413462969756,1.6729956698159894
independent,9,2,1.288740689776267,1.6558709518323047
reasonable,9,2,1.288740689776267,1.6558709518323047
potential,9,2,1.288740689776267,1.6558709518323047
understand,18,7,0.7333500190368296,1.6507346753639511
rivers,7,1,1.7253449411669468,1.6250556427120693
mark,7,1,1.7253449411669468,1.6250556427120693
increasing,7,1,1.7253449411669468,1.6250556427120693
curious,7,1,1.7253449411669468,1.6250556427120693
raise hand,7,1,1.7253449411669468,1.6250556427120693
springfield utility,7,1,1.7253449411669468,1.6250556427120693
sam,7,1,1.7253449411669468,1.6250556427120693
scale,7,1,1.7253449411669468,1.6250556427120693
th,7,1,1.7253449411669468,1.6250556427120693
does mean,7,1,1.7253449411669468,1.6250556427120693
fine,7,1,1.7253449411669468,1.6250556427120693
higher,7,1,1.7253449411669468,1.6250556427120693
coalition springfield,7,1,1.7253449411669468,1.6250556427120693
talking,26,12,0.56304851316699,1.6171115020294524
backup,16,6,0.7694691269403586,1.6117729045175322
taxes,16,6,0.7694691269403586,1.6117729045175322
acres,21,9,0.6367266670045559,1.602102535074381
issue,21,9,0.6367266670045559,1.602102535074381
used,21,9,0.6367266670045559,1.602102535074381
permanent,14,5,0.8179257158318203,1.5744462157807868
happens,14,5,0.8179257158318203,1.5744462157807868
coming,41,22,0.41319204410038335,1.566740428194273
end,19,8,0.654294225727515,1.5563131807449395
big,27,13,0.5209334316262835,1.5466302373151342
earlier,12,4,0.8864371103973143,1.5400384215860459
raised,12,4,0.8864371103973143,1.5400384215860459
standard,12,4,0.8864371103973143,1.5400384215860459
doesn,30,15,0.48339098974973904,1.5319844486131053
build,30,15,0.48339098974973904,1.5319844486131053
times,22,10,0.5781654350836858,1.5195398107729479
profit,10,3,0.9910225957739884,1.5105445525162757
emissions,10,3,0.9910225957739884,1.5105445525162757
read,10,3,0.9910225957739884,1.5105445525162757
real,17,7,0.6764397209283679,1.510090450036438
available,17,7,0.6764397209283679,1.510090450036438
analysis,8,2,1.1718422996178957,1.4882413039446767
maintenance,8,2,1.1718422996178957,1.4882413039446767
locally,8,2,1.1718422996178957,1.4882413039446767
cirrus,8,2,1.1718422996178957,1.4882413039446767
rely,8,2,1.1718422996178957,1.4882413039446767
bringing,8,2,1.1718422996178957,1.4882413039446767
giving,8,2,1.1718422996178957,1.4882413039446767
bubble,6,1,1.5729360751490802,1.4650784677226392
strong,6,1,1.5729360751490802,1.4650784677226392
cetera,6,1,1.5729360751490802,1.4650784677226392
craig,6,1,1.5729360751490802,1.4650784677226392
zoning rules,6,1,1.5729360751490802,1.4650784677226392
prepared,6,1,1.5729360751490802,1.4650784677226392
particular,6,1,1.5729360751490802,1.4650784677226392
excuse,6,1,1.5729360751490802,1.4650784677226392
showed,6,1,1.5729360751490802,1.4650784677226392
personally,6,1,1.5729360751490802,1.4650784677226392
charge,6,1,1.5729360751490802,1.4650784677226392
professionals,6,1,1.5729360751490802,1.4650784677226392
quarter,6,1,1.5729360751490802,1.4650784677226392
think need,6,1,1.5729360751490802,1.4650784677226392
generating,6,1,1.5729360751490802,1.4650784677226392
transparency,6,1,1.5729360751490802,1.4650784677226392
et cetera,6,1,1.5729360751490802,1.4650784677226392
battery,6,1,1.5729360751490802,1.4650784677226392
necessarily,6,1,1.5729360751490802,1.4650784677226392
et,6,1,1.5729360751490802,1.4650784677226392
operational,6,1,1.5729360751490802,1.4650784677226392
cover,6,1,1.5729360751490802,1.4650784677226392
time,105,68,0.2261941159086902,1.4559023379141203
lot,53,31,0.3273669154768566,1.4507167539351953
appreciate,23,11,0.5275376759212245,1.4423256506169635
know,164,112,0.17351666417124978,1.418156110179825
took,13,5,0.7441755258311593,1.4179901370230912
came,18,8,0.6004448452602151,1.4164911729455751
issues,21,10,0.5318160767616691,1.3873458304598023
alliance,11,4,0.7998775770184974,1.373868627370717
gets,11,4,0.7998775770184974,1.373868627370717
growth alliance,11,4,0.7998775770184974,1.373868627370717
equipment,16,7,0.6160689032351305,1.3628146147794342
ve seen,9,3,0.8862677525025395,1.3335369301977327
perspective,9,3,0.8862677525025395,1.3335369301977327
provide,19,9,0.5370269508205396,1.3301978241685284
little bit,14,6,0.6365332535903443,1.3077655539333237
speak tonight,7,2,1.039216787223058,1.3008255165774991
investing,7,2,1.039216787223058,1.3008255165774991
renewable energy,7,2,1.039216787223058,1.3008255165774991
final,7,2,1.039216787223058,1.3008255165774991
prime,7,2,1.039216787223058,1.3008255165774991
climate,7,2,1.039216787223058,1.3008255165774991
roof,5,1,1.3923920407109112,1.277706480400633
contractors,5,1,1.3923920407109112,1.277706480400633
force,5,1,1.3923920407109112,1.277706480400633
controls,5,1,1.3923920407109112,1.277706480400633
october,5,1,1.3923920407109112,1.277706480400633
skilled,5,1,1.3923920407109112,1.277706480400633
worth,5,1,1.3923920407109112,1.277706480400633
contractor,5,1,1.3923920407109112,1.277706480400633
departments,5,1,1.3923920407109112,1.277706480400633
serving,5,1,1.3923920407109112,1.277706480400633
southern illinois,5,1,1.3923920407109112,1.277706480400633
opportunities,5,1,1.3923920407109112,1.277706480400633
yep,5,1,1.3923920407109112,1.277706480400633
consumption,5,1,1.3923920407109112,1.277706480400633
saying going,5,1,1.3923920407109112,1.277706480400633
runs,5,1,1.3923920407109112,1.277706480400633
decimals,5,1,1.3923920407109112,1.277706480400633
deep,5,1,1.3923920407109112,1.277706480400633
definitely,5,1,1.3923920407109112,1.277706480400633
roads,5,1,1.3923920407109112,1.277706480400633
designed,5,1,1.3923920407109112,1.277706480400633
mid,5,1,1.3923920407109112,1.277706480400633
operating,5,1,1.3923920407109112,1.277706480400633
prairie rivers,5,1,1.3923920407109112,1.277706480400633
agree,5,1,1.3923920407109112,1.277706480400633
making sure,5,1,1.3923920407109112,1.277706480400633
approximately,5,1,1.3923920407109112,1.277706480400633
laid,5,1,1.3923920407109112,1.277706480400633
quarter mile,5,1,1.3923920407109112,1.277706480400633
regards,5,1,1.3923920407109112,1.277706480400633
water usage,5,1,1.3923920407109112,1.277706480400633
personal,5,1,1.3923920407109112,1.277706480400633
instead,5,1,1.3923920407109112,1.277706480400633
don believe,5,1,1.3923920407109112,1.277706480400633
utility future,5,1,1.3923920407109112,1.277706480400633
reported,5,1,1.3923920407109112,1.277706480400633
talked,17,8,0.5435096500219521,1.2706213095604788
run,17,8,0.5435096500219521,1.2706213095604788
prices,24,0,6.11587291055907,1.2695750657550517
means,20,10,0.483200699924355,1.2503974902232469
illinois,62,39,0.25488805366748135,1.249555018518333
meetings,15,7,0.5517909994262737,1.2083091213143928
bit,15,7,0.5517909994262737,1.2083091213143928
central illinois,10,4,0.705032470171,1.1949133022297818
financial,10,4,0.705032470171,1.1949133022297818
developer,10,4,0.705032470171,1.1949133022297818
significant,10,4,0.705032470171,1.1949133022297818
substation,10,4,0.705032470171,1.1949133022297818
resources,10,4,0.705032470171,1.1949133022297818
presentation,18,9,0.4831588488929235,1.18613790643454
ll,61,39,0.2386476867661811,1.166238031369768
recc,20,0,6.1077508423998,1.1620311756575552
just,167,118,0.13939847063107447,1.161265937950565
taking,13,6,0.5627355820003785,1.1429028591729056
ameren,13,6,0.5627355820003785,1.1429028591729056
hall,8,3,0.7691098486989132,1.1392984699478057
board meeting,8,3,0.7691098486989132,1.1392984699478057
risks,8,3,0.7691098486989132,1.1392984699478057
plans,8,3,0.7691098486989132,1.1392984699478057
floor,8,3,0.7691098486989132,1.1392984699478057
lines,8,3,0.7691098486989132,1.1392984699478057
answered,8,3,0.7691098486989132,1.1392984699478057
loop,8,3,0.7691098486989132,1.1392984699478057
answers,8,3,0.7691098486989132,1.1392984699478057
class,8,3,0.7691098486989132,1.1392984699478057
slide,19,0,6.1052101869503845,1.1335520239423944
correct,18,0,6.102399240582394,1.1043383805167664
handle,6,2,0.8860034699302144,1.0886331745382665
southern,6,2,0.8860034699302144,1.0886331745382665
extremely,6,2,0.8860034699302144,1.0886331745382665
ann,6,2,0.8860034699302144,1.0886331745382665
lots,6,2,0.8860034699302144,1.0886331745382665
robert,6,2,0.8860034699302144,1.0886331745382665
providing,6,2,0.8860034699302144,1.0886331745382665
list,6,2,0.8860034699302144,1.0886331745382665
free,6,2,0.8860034699302144,1.0886331745382665
grow,6,2,0.8860034699302144,1.0886331745382665
learn,6,2,0.8860034699302144,1.0886331745382665
roughly,6,2,0.8860034699302144,1.0886331745382665
caused,6,2,0.8860034699302144,1.0886331745382665
systems,11,5,0.5778683233360384,1.0740012294657435
businesses,11,5,0.5778683233360384,1.0740012294657435
governments,4,1,1.1710863238715348,1.0520485760575944
associated,4,1,1.1710863238715348,1.0520485760575944
negative,4,1,1.1710863238715348,1.0520485760575944
entire campus,4,1,1.1710863238715348,1.0520485760575944
going come,4,1,1.1710863238715348,1.0520485760575944
joliet,4,1,1.1710863238715348,1.0520485760575944
engines,4,1,1.1710863238715348,1.0520485760575944
drainage,4,1,1.1710863238715348,1.0520485760575944
power grid,4,1,1.1710863238715348,1.0520485760575944
trying make,4,1,1.1710863238715348,1.0520485760575944
just saying,4,1,1.1710863238715348,1.0520485760575944
want ask,4,1,1.1710863238715348,1.0520485760575944
mitigation,4,1,1.1710863238715348,1.0520485760575944
economy,4,1,1.1710863238715348,1.0520485760575944
responsibility,4,1,1.1710863238715348,1.0520485760575944
going speak,4,1,1.1710863238715348,1.0520485760575944
ag,4,1,1.1710863238715348,1.0520485760575944
indiana,4,1,1.1710863238715348,1.0520485760575944
going know,4,1,1.1710863238715348,1.0520485760575944
afford,4,1,1.1710863238715348,1.0520485760575944
easily,4,1,1.1710863238715348,1.0520485760575944
creating,4,1,1.1710863238715348,1.0520485760575944
sort,4,1,1.1710863238715348,1.0520485760575944
event,4,1,1.1710863238715348,1.0520485760575944
zoning laws,4,1,1.1710863238715348,1.0520485760575944
lower,4,1,1.1710863238715348,1.0520485760575944
modeling,4,1,1.1710863238715348,1.0520485760575944
questions concerns,4,1,1.1710863238715348,1.0520485760575944
critical,4,1,1.1710863238715348,1.0520485760575944
residential,4,1,1.1710863238715348,1.0520485760575944
particularly,4,1,1.1710863238715348,1.0520485760575944
friends,4,1,1.1710863238715348,1.0520485760575944
going talk,4,1,1.1710863238715348,1.0520485760575944
waiting,4,1,1.1710863238715348,1.0520485760575944
wall,4,1,1.1710863238715348,1.0520485760575944
exposed,4,1,1.1710863238715348,1.0520485760575944
cases,4,1,1.1710863238715348,1.0520485760575944
interested,4,1,1.1710863238715348,1.0520485760575944
seriously,4,1,1.1710863238715348,1.0520485760575944
express,4,1,1.1710863238715348,1.0520485760575944
project just,4,1,1.1710863238715348,1.0520485760575944
mike,4,1,1.1710863238715348,1.0520485760575944
good job,4,1,1.1710863238715348,1.0520485760575944
megawatt,4,1,1.1710863238715348,1.0520485760575944
difficult,4,1,1.1710863238715348,1.0520485760575944
net,4,1,1.1710863238715348,1.0520485760575944
precious,4,1,1.1710863238715348,1.0520485760575944
reports,4,1,1.1710863238715348,1.0520485760575944
thank coming,4,1,1.1710863238715348,1.0520485760575944
picture,4,1,1.1710863238715348,1.0520485760575944
institute,4,1,1.1710863238715348,1.0520485760575944
rural electric,4,1,1.1710863238715348,1.0520485760575944
jobs permanent,4,1,1.1710863238715348,1.0520485760575944
don like,4,1,1.1710863238715348,1.0520485760575944
assume,4,1,1.1710863238715348,1.0520485760575944
position,4,1,1.1710863238715348,1.0520485760575944
fairly,4,1,1.1710863238715348,1.0520485760575944
say going,4,1,1.1710863238715348,1.0520485760575944
spring,4,1,1.1710863238715348,1.0520485760575944
dioxide,4,1,1.1710863238715348,1.0520485760575944
operate,14,7,0.4830670044962897,1.0459002222219587
important,23,13,0.3611063763487117,1.042838537503786
natural gas,15,0,6.091820924614984,1.011644033280829
additional,9,4,0.6001546028125979,1.0012154148284564
rate,9,4,0.6001546028125979,1.0012154148284564
points,9,4,0.6001546028125979,1.0012154148284564
share,9,4,0.6001546028125979,1.0012154148284564
say,71,48,0.1829823997437794,0.9810676002784792
board member,14,0,6.087332729618101,0.9787944524295225
existing,21,12,0.35018482503049775,0.9696955301768702
emergency,12,6,0.48301429319215927,0.9682262869682511
ve got,18,10,0.37820488009163356,0.9609416105328052
asking,15,8,0.4188133395193825,0.9587098631242671
possible,7,3,0.6362312428542651,0.9244006790958929
cut,7,3,0.6362312428542651,0.9244006790958929
wasn,7,3,0.6362312428542651,0.9244006790958929
organizations,7,3,0.6362312428542651,0.9244006790958929
farms,7,3,0.6362312428542651,0.9244006790958929
speaker,7,3,0.6362312428542651,0.9244006790958929
week,7,3,0.6362312428542651,0.9244006790958929
water use,7,3,0.6362312428542651,0.9244006790958929
northern,7,3,0.6362312428542651,0.9244006790958929
schools,7,3,0.6362312428542651,0.9244006790958929
don know,29,18,0.26786751298051215,0.8944564343246436
plant,19,11,0.3371280256294531,0.8916592335466992
process,19,11,0.3371280256294531,0.8916592335466992
doing,19,11,0.3371280256294531,0.8916592335466992
coal,10,5,0.48295343236731814,0.8837753447746373
new,40,26,0.22196317442757074,0.8827890653288278
service,16,9,0.36579304019042347,0.8797457132274268
separate,11,0,6.069221653920065,0.872841097836503
storage,11,0,6.069221653920065,0.872841097836503
estimate,11,0,6.069221653920065,0.872841097836503
talk,33,21,0.24304309773385402,0.8723573772403135
maybe,26,16,0.276390550281179,0.8715723062352732
allowing,5,2,0.704669198373832,0.8446459819658191
wait,5,2,0.704669198373832,0.8446459819658191
step,5,2,0.704669198373832,0.8446459819658191
control,5,2,0.704669198373832,0.8446459819658191
things want,5,2,0.704669198373832,0.8446459819658191
works,5,2,0.704669198373832,0.8446459819658191
taxing,5,2,0.704669198373832,0.8446459819658191
normal,5,2,0.704669198373832,0.8446459819658191
amendment,5,2,0.704669198373832,0.8446459819658191
neighboring,5,2,0.704669198373832,0.8446459819658191
medical,5,2,0.704669198373832,0.8446459819658191
slides,5,2,0.704669198373832,0.8446459819658191
professional,5,2,0.704669198373832,0.8446459819658191
just going,5,2,0.704669198373832,0.8446459819658191
march,5,2,0.704669198373832,0.8446459819658191
size,5,2,0.704669198373832,0.8446459819658191
largest,5,2,0.704669198373832,0.8446459819658191
created,5,2,0.704669198373832,0.8446459819658191
typically,5,2,0.704669198373832,0.8446459819658191
input,5,2,0.704669198373832,0.8446459819658191
thank time,5,2,0.704669198373832,0.8446459819658191
estimates,5,2,0.704669198373832,0.8446459819658191
commitment,5,2,0.704669198373832,0.8446459819658191
tenants,10,0,6.060896474342371,0.8345289060569294
able,20,12,0.30154910430551585,0.8274908759805464
wanted,20,12,0.30154910430551585,0.8274908759805464
company,20,12,0.30154910430551585,0.8274908759805464
regional,9,0,6.050823245040386,0.7943620716620667
supply demand,9,0,6.050823245040386,0.7943620716620667
future,24,15,0.26091190835758127,0.7942673472331582
bring,24,15,0.26091190835758127,0.7942673472331582
far,14,8,0.3500669734180395,0.7915105524950475
workforce,8,4,0.4828783085454802,0.7903780213396928
let know,8,4,0.4828783085454802,0.7903780213396928
phone,8,4,0.4828783085454802,0.7903780213396928
sign,8,4,0.4828783085454802,0.7903780213396928
effect,8,4,0.4828783085454802,0.7903780213396928
paying,8,4,0.4828783085454802,0.7903780213396928
putting,11,6,0.3963384612157128,0.7826288286222922
black,11,6,0.3963384612157128,0.7826288286222922
change,11,6,0.3963384612157128,0.7826288286222922
stop,11,6,0.3963384612157128,0.7826288286222922
prior,3,1,0.8853597743707748,0.7694950915389478
valuable,3,1,0.8853597743707748,0.7694950915389478
cameras,3,1,0.8853597743707748,0.7694950915389478
claim,3,1,0.8853597743707748,0.7694950915389478
grade,3,1,0.8853597743707748,0.7694950915389478
tend,3,1,0.8853597743707748,0.7694950915389478
utility rates,3,1,0.8853597743707748,0.7694950915389478
thank county,3,1,0.8853597743707748,0.7694950915389478
canman,3,1,0.8853597743707748,0.7694950915389478
funds,3,1,0.8853597743707748,0.7694950915389478
bunch,3,1,0.8853597743707748,0.7694950915389478
generators going,3,1,0.8853597743707748,0.7694950915389478
cool,3,1,0.8853597743707748,0.7694950915389478
keeps,3,1,0.8853597743707748,0.7694950915389478
project going,3,1,0.8853597743707748,0.7694950915389478
simple,3,1,0.8853597743707748,0.7694950915389478
pushing,3,1,0.8853597743707748,0.7694950915389478
going forward,3,1,0.8853597743707748,0.7694950915389478
million dollar,3,1,0.8853597743707748,0.7694950915389478
convenience cooperative,3,1,0.8853597743707748,0.7694950915389478
knowing,3,1,0.8853597743707748,0.7694950915389478
want remind,3,1,0.8853597743707748,0.7694950915389478
futures,3,1,0.8853597743707748,0.7694950915389478
say don,3,1,0.8853597743707748,0.7694950915389478
wanted make,3,1,0.8853597743707748,0.7694950915389478
proximity,3,1,0.8853597743707748,0.7694950915389478
mile away,3,1,0.8853597743707748,0.7694950915389478
changing,3,1,0.8853597743707748,0.7694950915389478
clean water,3,1,0.8853597743707748,0.7694950915389478
ceo,3,1,0.8853597743707748,0.7694950915389478
debt,3,1,0.8853597743707748,0.7694950915389478
stuff like,3,1,0.8853597743707748,0.7694950915389478
time period,3,1,0.8853597743707748,0.7694950915389478
major,3,1,0.8853597743707748,0.7694950915389478
owned,3,1,0.8853597743707748,0.7694950915389478
media,3,1,0.8853597743707748,0.7694950915389478
libraries,3,1,0.8853597743707748,0.7694950915389478
identify,3,1,0.8853597743707748,0.7694950915389478
recommendation,3,1,0.8853597743707748,0.7694950915389478
beautiful,3,1,0.8853597743707748,0.7694950915389478
prevention,3,1,0.8853597743707748,0.7694950915389478
