segment,label,speaker,start,end
[ 00:00:00.925 -->  00:00:20.837],CA,SPEAKER_76,0.92534375,20.83784375
[ 00:00:21.057 -->  00:00:21.799],T,SPEAKER_11,21.05721875,21.79971875
[ 00:00:23.740 -->  00:00:24.145],T,SPEAKER_11,23.74034375,24.145343750000002
[ 00:00:24.179 -->  00:00:24.229],T,SPEAKER_11,24.17909375,24.22971875
[ 00:00:24.482 -->  00:00:24.668],T,SPEAKER_11,24.48284375,24.668468750000002
[ 00:00:24.668 -->  00:00:24.702],BM,SPEAKER_61,24.668468750000002,24.70221875
[ 00:00:24.702 -->  00:00:24.735],T,SPEAKER_11,24.70221875,24.73596875
[ 00:00:24.735 -->  00:00:24.769],BM,SPEAKER_61,24.73596875,24.769718750000003
[ 00:00:24.769 -->  00:00:24.820],T,SPEAKER_11,24.769718750000003,24.820343750000003
[ 00:00:24.820 -->  00:00:24.854],BM,SPEAKER_61,24.820343750000003,24.85409375
[ 00:00:24.854 -->  00:00:24.972],T,SPEAKER_11,24.85409375,24.97221875
[ 00:00:24.972 -->  00:00:25.022],BM,SPEAKER_61,24.97221875,25.02284375
[ 00:00:25.022 -->  00:00:25.967],T,SPEAKER_11,25.02284375,25.96784375
[ 00:00:25.967 -->  00:00:26.035],BM,SPEAKER_61,25.96784375,26.035343750000003
[ 00:00:26.035 -->  00:00:29.545],T,SPEAKER_11,26.035343750000003,29.54534375
[ 00:00:29.545 -->  00:00:36.902],BS,SPEAKER_68,29.54534375,36.90284375
[ 00:00:36.329 -->  00:00:36.345],AH,SPEAKER_27,36.32909375,36.345968750000004
[ 00:00:36.345 -->  00:00:37.544],AI,SPEAKER_28,36.345968750000004,37.54409375
[ 00:00:36.902 -->  00:00:36.919],AH,SPEAKER_27,36.90284375,36.91971875
[ 00:00:37.729 -->  00:00:39.704],BS,SPEAKER_68,37.72971875,39.704093750000006
[ 00:00:39.737 -->  00:00:40.024],BS,SPEAKER_68,39.73784375,40.024718750000005
[ 00:00:41.712 -->  00:00:54.925],BS,SPEAKER_68,41.712218750000005,54.92534375
[ 00:00:43.382 -->  00:00:44.378],T,SPEAKER_11,43.38284375,44.37846875
[ 00:00:44.648 -->  00:00:44.732],T,SPEAKER_11,44.64846875,44.73284375
[ 00:00:44.817 -->  00:00:45.289],T,SPEAKER_11,44.81721875,45.289718750000006
