source_file,segment_id,word_id,word,start,end,score,speaker,segment_speaker
CyrusOne/COB_20260323_Imported.mp3,0,0,We,0.945,1.065,0.792,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,1,ask,1.165,1.365,0.861,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,2,of,1.385,1.425,0.988,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,3,you,1.465,1.585,0.884,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,4,this,1.625,1.745,0.927,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,5,evening,1.865,2.145,0.79,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,6,to,2.185,2.245,0.75,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,7,help,2.285,2.486,0.85,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,8,us,2.566,2.626,0.933,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,9,in,2.706,2.786,0.822,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,10,our,2.826,2.926,0.697,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,11,decisions,2.966,3.446,0.853,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,12,for,3.486,3.646,0.86,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,13,the,3.666,3.746,0.803,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,14,"community,",3.786,4.326,0.894,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,15,for,4.426,4.586,0.877,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,16,all,4.686,4.826,0.811,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,17,of,4.846,4.886,0.113,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,18,our,4.946,5.046,0.822,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,19,"people,",5.086,5.467,0.798,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,20,based,5.887,6.147,0.892,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,21,on,6.227,6.307,0.799,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,22,the,6.327,6.427,0.663,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,23,sound,6.487,6.767,0.941,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,24,advice,6.807,7.187,0.839,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,25,and,7.247,7.347,0.745,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,26,information,7.387,7.947,0.9,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,27,given,7.987,8.268,0.902,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,28,to,8.328,8.468,0.849,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,29,"us,",8.608,8.688,0.887,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,30,for,9.168,9.348,0.865,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,31,a,9.388,9.428,0.499,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,32,safe,9.488,9.768,0.882,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,33,and,9.828,9.908,0.891,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,34,economically,9.968,10.588,0.813,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,35,viable,10.648,11.069,0.794,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,0,36,county.,11.109,11.469,0.883,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,1,0,We,12.169,12.289,0.76,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,1,1,know,12.329,12.489,0.669,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,1,2,that,12.529,12.649,0.904,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,1,3,you,12.689,12.809,0.999,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,1,4,will,12.869,13.049,0.874,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,1,5,guide,13.089,13.329,0.962,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,1,6,us,13.409,13.489,0.539,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,1,7,for,13.569,13.729,0.855,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,1,8,the,13.769,13.83,0.978,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,1,9,betterment,13.89,14.41,0.862,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,1,10,of,14.51,14.57,0.786,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,1,11,all,14.75,14.91,0.795,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,1,12,if,15.23,15.31,0.752,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,1,13,only,15.41,15.59,0.793,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,1,14,we,15.63,15.71,0.858,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,1,15,ask,15.83,16.03,0.879,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,1,16,of,16.05,16.09,0.994,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,1,17,you.,16.15,16.31,0.926,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,2,0,We,16.751,16.891,0.797,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,2,1,humbly,16.931,17.411,0.896,SPEAKER_76,SPEAKER_76
CyrusOne/COB_20260323_Imported.mp3,2,2,now,17.771,18.051,0.941,SPEAKER_76,SPEAKER_76
