segment,label,speaker,start,end
[ 00:00:00.098 -->  00:00:02.055],C,SPEAKER_12,0.09846875000000001,2.0559687500000003
[ 00:00:00.284 -->  00:00:00.554],AN,SPEAKER_33,0.28409375000000003,0.55409375
[ 00:00:03.169 -->  00:00:07.827],C,SPEAKER_12,3.1697187500000004,7.82721875
[ 00:00:09.750 -->  00:00:10.054],X,SPEAKER_16,9.750968750000002,10.054718750000003
[ 00:00:15.319 -->  00:00:16.365],AU,SPEAKER_41,15.31971875,16.36596875
[ 00:00:16.922 -->  00:00:17.361],AU,SPEAKER_41,16.922843750000002,17.36159375
[ 00:00:17.699 -->  00:00:20.517],AU,SPEAKER_41,17.69909375,20.51721875
[ 00:00:21.040 -->  00:00:23.301],AU,SPEAKER_41,21.04034375,23.301593750000002
[ 00:00:23.993 -->  00:00:28.684],AU,SPEAKER_41,23.99346875,28.684718750000002
[ 00:00:29.967 -->  00:00:36.919],AU,SPEAKER_41,29.96721875,36.91971875
[ 00:00:37.965 -->  00:00:40.142],AU,SPEAKER_41,37.96596875,40.142843750000004
[ 00:00:40.530 -->  00:00:41.340],AU,SPEAKER_41,40.53096875,41.34096875
[ 00:00:41.340 -->  00:00:41.357],X,SPEAKER_16,41.34096875,41.35784375
[ 00:00:41.357 -->  00:00:41.459],AU,SPEAKER_41,41.35784375,41.45909375
[ 00:00:42.589 -->  00:00:42.792],X,SPEAKER_16,42.58971875,42.79221875
[ 00:00:42.792 -->  00:00:43.163],Y,SPEAKER_17,42.79221875,43.16346875
[ 00:00:43.163 -->  00:00:46.859],X,SPEAKER_16,43.16346875,46.85909375
[ 00:00:43.686 -->  00:00:55.296],Y,SPEAKER_17,43.68659375,55.29659375000001
[ 00:00:46.926 -->  00:00:47.972],X,SPEAKER_16,46.92659375,47.97284375
[ 00:00:47.972 -->  00:00:47.989],F,SPEAKER_43,47.97284375,47.98971875
[ 00:00:47.989 -->  00:00:48.040],X,SPEAKER_16,47.98971875,48.040343750000005
[ 00:00:48.040 -->  00:00:48.141],F,SPEAKER_43,48.040343750000005,48.141593750000006
[ 00:00:48.141 -->  00:00:48.968],X,SPEAKER_16,48.141593750000006,48.96846875
[ 00:00:48.968 -->  00:00:49.035],F,SPEAKER_43,48.96846875,49.03596875
[ 00:00:49.035 -->  00:00:49.964],X,SPEAKER_16,49.03596875,49.96409375
[ 00:00:49.964 -->  00:00:50.031],F,SPEAKER_43,49.96409375,50.031593750000006
[ 00:00:50.031 -->  00:00:51.972],X,SPEAKER_16,50.031593750000006,51.97221875
[ 00:00:51.972 -->  00:00:52.967],F,SPEAKER_43,51.97221875,52.96784375
[ 00:00:52.967 -->  00:00:53.085],P,SPEAKER_07,52.96784375,53.085968750000006
[ 00:01:00.426 -->  00:01:12.120],C,SPEAKER_12,60.42659375,72.12096875
[ 00:01:12.677 -->  00:01:16.019],C,SPEAKER_12,72.67784375000001,76.01909375000001
[ 00:01:16.677 -->  00:01:18.398],AG,SPEAKER_26,76.67721875000001,78.39846875
[ 00:01:20.305 -->  00:01:20.727],AG,SPEAKER_26,80.30534375,80.72721875
[ 00:01:21.857 -->  00:01:22.414],C,SPEAKER_12,81.85784375,82.41471875
[ 00:01:24.068 -->  00:01:24.608],AG,SPEAKER_26,84.06846875000001,84.60846875
[ 00:01:24.844 -->  00:01:25.199],AG,SPEAKER_26,84.84471875,85.19909375
[ 00:01:25.485 -->  00:01:26.177],AG,SPEAKER_26,85.48596875000001,86.17784375000001
[ 00:01:29.097 -->  00:01:33.265],AG,SPEAKER_26,89.09721875000001,93.26534375
[ 00:01:31.054 -->  00:01:31.375],Y,SPEAKER_17,91.05471875,91.37534375
[ 00:01:32.269 -->  00:01:32.286],Y,SPEAKER_17,92.26971875000001,92.28659375000001
[ 00:01:32.286 -->  00:01:32.303],R,SPEAKER_09,92.28659375000001,92.30346875000001
[ 00:01:32.303 -->  00:01:32.708],Y,SPEAKER_17,92.30346875000001,92.70846875000001
[ 00:01:35.054 -->  00:01:38.462],AG,SPEAKER_26,95.05409375,98.46284375
[ 00:01:35.324 -->  00:01:35.459],R,SPEAKER_09,95.32409375,95.45909375000001
[ 00:01:38.648 -->  00:01:38.682],AG,SPEAKER_26,98.64846875,98.68221875
[ 00:01:38.783 -->  00:01:38.834],AG,SPEAKER_26,98.78346875000001,98.83409375000001
[ 00:01:38.901 -->  00:01:39.002],AG,SPEAKER_26,98.90159375,99.00284375000001
[ 00:01:39.222 -->  00:01:42.479],AG,SPEAKER_26,99.22221875000001,102.47909375
[ 00:01:42.968 -->  00:01:43.980],AG,SPEAKER_26,102.96846875,103.98096875
[ 00:01:45.094 -->  00:01:45.550],AG,SPEAKER_26,105.09471875000001,105.55034375000001
[ 00:01:45.668 -->  00:01:46.039],Y,SPEAKER_17,105.66846875,106.03971875
[ 00:01:46.647 -->  00:01:48.486],AG,SPEAKER_26,106.64721875000001,108.48659375000001
[ 00:01:48.992 -->  00:01:49.330],Y,SPEAKER_17,108.99284375,109.33034375000001
[ 00:01:50.258 -->  00:01:52.350],AG,SPEAKER_26,110.25846875,112.35096875
[ 00:01:50.882 -->  00:01:51.338],Y,SPEAKER_17,110.88284375,111.33846875
[ 00:01:53.734 -->  00:01:54.274],AG,SPEAKER_26,113.73471875000001,114.27471875
[ 00:01:55.472 -->  00:01:56.147],AG,SPEAKER_26,115.47284375000001,116.14784375
[ 00:01:56.316 -->  00:01:56.755],Y,SPEAKER_17,116.31659375000001,116.75534375000001
[ 00:01:56.384 -->  00:01:56.400],AG,SPEAKER_26,116.38409375,116.40096875
[ 00:01:56.434 -->  00:01:56.637],AG,SPEAKER_26,116.43471875,116.63721875
[ 00:01:56.974 -->  00:01:57.514],AG,SPEAKER_26,116.97471875000001,117.51471875000001
[ 00:01:57.632 -->  00:01:58.122],Y,SPEAKER_17,117.63284375,118.12221875
[ 00:01:58.982 -->  00:02:03.420],AG,SPEAKER_26,118.98284375,123.42096875000001
[ 00:01:59.759 -->  00:02:02.779],Y,SPEAKER_17,119.75909375,122.77971875
[ 00:02:04.922 -->  00:02:06.964],AG,SPEAKER_26,124.92284375000001,126.96471875
[ 00:02:07.892 -->  00:02:12.128],AG,SPEAKER_26,127.89284375000001,132.12846875
[ 00:02:09.360 -->  00:02:10.019],P,SPEAKER_07,129.36096875,130.01909375
[ 00:02:12.347 -->  00:02:12.432],AG,SPEAKER_26,132.34784375,132.43221875
[ 00:02:12.432 -->  00:02:12.887],P,SPEAKER_07,132.43221875,132.88784375
[ 00:02:13.107 -->  00:02:15.503],AG,SPEAKER_26,133.10721875000002,135.50346875
[ 00:02:15.992 -->  00:02:18.777],C,SPEAKER_12,135.99284375000002,138.77721875
[ 00:02:18.861 -->  00:02:30.218],C,SPEAKER_12,138.86159375,150.21846875
[ 00:02:32.192 -->  00:02:33.205],C,SPEAKER_12,152.19284375,153.20534375
[ 00:02:36.985 -->  00:02:38.250],C,SPEAKER_12,156.98534375,158.25096875
[ 00:02:41.642 -->  00:02:52.999],Z,SPEAKER_18,161.64284375,172.99971875
[ 00:02:53.151 -->  00:02:53.995],C,SPEAKER_12,173.15159375000002,173.99534375000002
[ 00:02:55.210 -->  00:02:56.999],C,SPEAKER_12,175.21034375000002,176.99909375000001
[ 00:02:56.999 -->  00:02:57.539],Z,SPEAKER_18,176.99909375000001,177.53909375
[ 00:02:57.539 -->  00:03:04.305],C,SPEAKER_12,177.53909375,184.30596875
[ 00:03:07.410 -->  00:03:14.802],AK,SPEAKER_30,187.41096875000002,194.80221875
[ 00:03:14.886 -->  00:03:15.561],C,SPEAKER_12,194.88659375,195.56159375000001
[ 00:03:17.012 -->  00:03:18.177],C,SPEAKER_12,197.01284375,198.17721875
