source_file,segment_id,word_id,word,start,end,score,speaker,segment_speaker
CyrusOne/Cyrusone_Hearing_12032025.mp3,0,0,THE,0.74,0.84,0.896,SPEAKER_12,SPEAKER_12
CyrusOne/Cyrusone_Hearing_12032025.mp3,0,1,BOARD,0.9,1.12,0.811,SPEAKER_12,SPEAKER_12
CyrusOne/Cyrusone_Hearing_12032025.mp3,0,2,WILL,1.14,1.28,0.976,SPEAKER_12,SPEAKER_12
CyrusOne/Cyrusone_Hearing_12032025.mp3,0,3,COME,1.32,1.44,0.882,SPEAKER_12,SPEAKER_12
CyrusOne/Cyrusone_Hearing_12032025.mp3,0,4,TO,1.46,1.58,0.817,SPEAKER_12,SPEAKER_12
CyrusOne/Cyrusone_Hearing_12032025.mp3,0,5,ORDER.,1.68,1.941,0.86,SPEAKER_12,SPEAKER_12
CyrusOne/Cyrusone_Hearing_12032025.mp3,1,0,INVOCATION,3.301,3.961,0.953,SPEAKER_12,SPEAKER_12
CyrusOne/Cyrusone_Hearing_12032025.mp3,1,1,BY,4.041,4.241,0.873,SPEAKER_12,SPEAKER_12
CyrusOne/Cyrusone_Hearing_12032025.mp3,1,2,MS.,4.301,4.461,0.773,SPEAKER_12,SPEAKER_12
CyrusOne/Cyrusone_Hearing_12032025.mp3,1,3,FULGENZI.,4.481,5.102,0.739,SPEAKER_12,SPEAKER_12
CyrusOne/Cyrusone_Hearing_12032025.mp3,2,0,PLEDGE,5.982,6.202,0.84,SPEAKER_12,SPEAKER_12
CyrusOne/Cyrusone_Hearing_12032025.mp3,2,1,OF,6.222,6.302,0.472,SPEAKER_12,SPEAKER_12
CyrusOne/Cyrusone_Hearing_12032025.mp3,2,2,ALLEGIANCE,6.322,6.782,0.68,SPEAKER_12,SPEAKER_12
CyrusOne/Cyrusone_Hearing_12032025.mp3,2,3,BY,7.002,7.162,0.845,SPEAKER_12,SPEAKER_12
CyrusOne/Cyrusone_Hearing_12032025.mp3,2,4,MR.,7.202,7.402,0.776,SPEAKER_12,SPEAKER_12
CyrusOne/Cyrusone_Hearing_12032025.mp3,2,5,CHUMMELIN.,7.422,7.662,0.318,SPEAKER_12,SPEAKER_12
CyrusOne/Cyrusone_Hearing_12032025.mp3,3,0,"DEVON,",7.682,7.802,0.169,SPEAKER_12,SPEAKER_16
CyrusOne/Cyrusone_Hearing_12032025.mp3,3,1,FOLLOW,15.285,15.405,0.0,SPEAKER_41,SPEAKER_16
CyrusOne/Cyrusone_Hearing_12032025.mp3,3,2,ME,15.425,15.465,0.0,SPEAKER_41,SPEAKER_16
CyrusOne/Cyrusone_Hearing_12032025.mp3,3,3,OUT.,15.485,15.565,0.043,SPEAKER_41,SPEAKER_16
CyrusOne/Cyrusone_Hearing_12032025.mp3,4,0,PLEASE,15.605,15.825,0.323,SPEAKER_41,SPEAKER_41
