source_file,speaker,n_segments,speaker_name,speaker_role,identity_evidence,notes
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_00,8,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_01,31,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_02,23,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_03,4,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_04,12,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_05,20,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_06,227,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_07,41,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_08,55,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_09,100,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_10,32,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_11,29,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_12,29,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_13,21,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_14,403,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_15,50,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_16,14,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_17,24,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_18,47,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_19,19,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_20,124,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_21,44,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_22,71,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_23,351,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_24,15,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_25,585,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_26,48,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_27,13,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_28,34,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_29,70,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_30,54,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_31,32,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_32,32,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_33,20,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_34,88,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_35,50,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_36,33,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_37,109,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_38,14,,,,
CyrusOne/Cyrusone_Hearing_12032025.mp3,SPEAKER_39,27,,,,
